enlisted,pay_grade,single withoutchildren male,single withoutchildren female,single withoutchildren total,single withchildren male,single withchildren female,single withchildren total,married jointservice male,married jointservice female,married jointservice total,married civilian female,married civilian male,married civilian total,married male total,married female total,married total total,branch
E,1,6232,583,6815,54,3,57,20,19,39,611,21,632,6917,626,7543,MarineCorps
E,2,15916,1336,17252,190,12,202,98,109,207,2399,96,2495,18603,1553,20156,MarineCorps
E,3,34868,1864,36732,574,167,741,780,928,1708,14643,344,14987,50865,3303,54168,MarineCorps
E,4,17862,1026,18888,527,272,799,1070,944,2014,15599,414,16013,35058,2656,37714,MarineCorps
E,5,7490,590,8080,931,338,1269,1199,730,1929,17921,344,18265,27541,2002,29543,MarineCorps
E,6,2051,208,2259,1060,226,1286,568,341,909,12005,221,12226,15684,996,16680,MarineCorps
E,7,565,72,637,622,119,741,308,185,493,6970,120,7090,8465,496,8961,MarineCorps
E,8,148,21,169,270,42,312,115,66,181,3268,73,3341,3801,202,4003,MarineCorps
E,9,68,10,78,106,20,126,42,10,52,1340,21,1361,1556,61,1617,MarineCorps
O,1,2227,204,2431,26,5,31,35,53,88,1006,23,1029,3294,285,3579,MarineCorps
O,2,1509,133,1642,29,8,37,81,53,134,1330,20,1350,2949,214,3163,MarineCorps
O,3,1510,200,1710,110,14,124,189,133,322,3892,52,3944,5701,399,6100,MarineCorps
O,4,319,62,381,127,12,139,93,42,135,3121,48,3169,3660,164,3824,MarineCorps
O,5,76,7,83,55,2,57,37,10,47,1704,20,1724,1872,39,1911,MarineCorps
O,6,23,7,30,17,1,18,10,2,12,623,12,635,673,22,695,MarineCorps
O,7,2,1,3,1,0,1,1,0,1,36,0,36,40,1,41,MarineCorps
O,8,0,0,0,0,0,0,0,0,0,23,1,24,23,1,24,MarineCorps
O,9,0,0,0,0,0,0,0,0,0,16,0,16,16,0,16,MarineCorps
O,10,1,0,1,0,0,0,0,0,0,3,0,3,4,0,4,MarineCorps
W,1,26,3,29,20,7,27,25,12,37,386,5,391,457,27,484,MarineCorps
W,2,30,3,33,38,2,40,26,17,43,607,6,613,701,28,729,MarineCorps
W,3,17,5,22,30,10,40,16,16,32,390,12,402,453,43,496,MarineCorps
W,4,6,0,6,17,2,19,6,5,11,250,3,253,279,10,289,MarineCorps
W,5,3,3,6,3,1,4,0,1,1,90,2,92,96,7,103,MarineCorps
